,source,title,description,content
49,Global News,trudeau vows regulate oil gas emissions electric car sales global news,ol li trudeau vows regulate oil gas emissions electric car sales global news li li trudeau says back protesters hurl death threats racist sexist slurs cbc ca li li hearts liberals atlantic…,liberal leader justin trudeau put climate change campaign agenda sunday laying promise begin regulating total emissions canada’s oil gas producers invest heavily job … 4084 chars
50,Fast Company,world aiming net zero emissions 2050 it’s time admit it’s enough,governments businesses settled easy remember climate goal even achieve we’ll still face climate disasters could prevented bolder action thirty three years ago sweltering summer day 1988 nasa scientist j…,thirty three years ago sweltering summer day 1988 nasa scientist james hansen stood front congress testified existential threat planet climate changing… 14932 chars
51,Reuters,iveco charts future cnh nikola electric truck deal reuters,iveco truck bus business italian american cnh industrial href https www reuters com companies cnhi mi target blank cnhi mi pressing ahead plans spin aimed expanding electric vehicle production ceo designa…,ulm germany sept 15 reuters iveco truck bus business italian american cnh industrial cnhi mi pressing ahead plans spin aimed expanding electric vehicle produ… 2736 chars
52,Autoblog,biden infrastructure plan takes ev charging’s inequality problem,filed government legal green green culture electric infrastructure continue reading biden infrastructure plan takes ev charging’s inequality problem biden infrastructure plan takes ev charging’s inequality problem originally appeared autoblo…,biden administration ambitious 7 5 billion plan expand electric vehicle charging underserved areas must first overcome host obstacles discouraged private inve… 5722 chars
53,The Guardian,watchdog launch crackdown ads falsely claiming green credentials,asawill conduct series inquiries environmental advertising claims practicesairline ads encourage taking many flights carmakers show suvs tearing countryside set fall foul crackdown marketing encou…,airline ads encourage taking many flights carmakers show suvs tearing countryside set fall foul crackdown marketing encourages environmentally irresponsib… 3278 chars
54,Reuters,exclusive california bay area regulators probe phillips 66 refinery work email reuters,california bay area regulators investigating whether phillips 66 failed obtain necessary permits produce renewable fuels oil refinery rodeo according email reviewed reuters,u oil company phillips 66 headquarters houston texas u september 27 2020 picture taken september 27 2020 reuters gary mcwilliamssept 15 reuters california bay area regulators … 3653 chars
55,Reuters,breakdown beware aussie net zero greenwashing reuters,it’s tempting hope australian government led prime minister scott morrison starting see light climate change speech friday treasurer josh frydenberg called “structural seismic shift” country’s financial system…,firefighter local brigade works extinguish flames bushfire burnt area bredbo new south wales australia february 2 2020 reuters loren elliott melbourne sept 27… 8901 chars
56,Reuters,factbox pros cons el salvador first bitcoin nation reuters,el salvador tuesday become first country world recognize bitcoin legal tender move president nayib bukele says save salvadorans living abroad millions dollars commissions money send home,banner reads accept bitcoin free fast without contagion seen beach cafe punta roca beach la libertad el salvador april 25 2021 reuters jose cabezassan salvador sep… 3821 chars
57,Ars Technica,old coal plant mining bitcoin utility company,bitcoin breathing new life another ailing power plant,19 16 posters participating bitcoins massive power consumption cryptocurrencys dirty secret mine bitcoin computers across globe chew enough electricity power medium… 3500 chars
58,Autoblog,bmw daimler sued climate change,filed government legal green bmw mercedes benz volkswagen emissions continue reading bmw daimler sued climate change bmw daimler sued climate change originally appeared autoblog tue 21 sep 2021 08 …,berlin german activists filed lawsuit automakers bmw daimler refusing tighten carbon emissions goals give fossil fuel emitting cars 2030 first time germa… 5210 chars
59,BBC News,climate change india live without coal,world third largest emitter fossil fuels end reliance coal,rajini vaidyanathanbbc south asia correspondent image source getty images image captioncoal accounts 70 india energy production india world third largest emitter fo… 5682 chars
60,Reuters,south africa tells western envoys needs funds shift coal reuters,south africa told visiting climate envoys united states britain germany france needs major financial support move away coal environment department said wednesday,steam rises sunrise lethabo power station coal fired power station owned state power utility eskom near sasolburg south africa march 2 2016 reuters siphiwe sibeko file photojoha… 2465 chars
61,Reuters,german auto giants place bets hydrogen cars reuters,battery power may frontrunner become car technology future rule underdog hydrogen,bmw ix5 hydrogen seen munich auto show iaa mobility 2021 munich germany september 8 2021 reuters wolfgang rattaymunich sept 22 reuters battery power may frontrunner b… 7459 chars
62,Reuters,illinois senate close providing lifeline 3 nuclear power plants reuters,illinois senate expected vote wide ranging energy bill monday contains incentives prevent exelon corp shutting three nuclear power plants hours company threatened close first one,washington sept 13 reuters illinois senate expected vote wide ranging energy bill monday contains incentives prevent exelon corp shutting three nuclear power plant… 1888 chars
63,Autoblog,genesis maps sustainable ev future 14 years,filed green genesis electric future luxury continue reading genesis maps sustainable ev future 14 years genesis maps sustainable ev future 14 years originally appeared autoblog thu 2 sep 2021 08 25 00 edt please see …,genesis cannonball clear blue waters earth sustainable future using 12 minute livestream announce eco conscious commercial electric vehicle goals next 14 ye… 2303 chars
64,Reuters,australian court rejects kepco plans thermal coal mine reuters,australian state court upheld decision deny approval south korean power utility kepco develop thermal coal mine new south wales state due part impact climate change,melbourne sept 14 reuters australian state court upheld decision deny approval south korean power utility kepco develop thermal coal mine new south wales state due pa… 1846 chars
65,Scientific American,infrastructure bill could cut carbon emissions nearly gigaton,provisions reconciliation package working way congress would help meet biden’s climate pledge read scientificamerican com,reconciliation bill working way congress could cut u greenhouse gas emissions nearly gigaton 2030 according new report analysis released today rhodium g… 3108 chars
66,Reuters,japan mitsui partners exit mexico gas power project reuters,four japanese companies including mitsui co href https www reuters com companies 8031 target blank 8031 agreed sell entire stakes mexican power plant operator mt falcon holdings british fund actis gp llp undi…,logo japanese trading company mitsui amp co seen tokyo japan january 10 2018 reuters toru hanai file phototokyo sept 16 reuters four japanese companies including mitsui amp… 1424 chars
67,Zacks.com,zacks analyst blog highlights alliant energy exelon firstenergy duke energy,zacks analyst blog highlights alliant energy exelon firstenergy duke energy,immediate release chicago il september 28 2021 zacks com announces list stocks featured analyst blog every day zacks equity research analysts discuss latest news eve… 8288 chars
68,Zacks.com,chevron cvx mercuria form jv buy american natural gas,chevron cvx plans increase renewable natural gas production ten fold within 2025 2020 levels part healthier returns,chevron corporations cvx subsidiary chevron u inc recently inked agreements one world leading integrated energy commodities firms mercuria energy trading mercuria form … 3701 chars
69,Ars Technica,limit warming 1 5ºc huge amounts fossil fuels need go unused,nearly 60 percent oil 90 percent coal stay ground,enlarge reach climate goals need stop building 8 7 posters participating massive amount fossil fuels need stay ground world reach … 4568 chars
70,Zacks.com,firstenergy fe capex clean energy goals augur well,firstenergy fe solid residential customer base along capital activities develop infrastructure focus reducing emissions lik,firstenergy corporations fe expanding regulated base improving transmission lines likely boost earnings also companys efforts reduce emission levels expected benefic… 3130 chars
71,The Guardian,building blocks needed prevent climate catastrophe letters,readers respond george monbiot’s article impact infrastructure projects environmentas ever george monbiot hits nail head article emphasising need reduce building especially roads exacerbate climate de…,ever george monbiot hits nail head article emphasising need reduce building especially roads exacerbate climate degradation cant build way the… 3277 chars
72,BBC News,gas crisis leaves europe searching solutions,consumers face steep rise energy bills governments try fund move renewable energy,image source getty images image captionsupplies russian gas fallen recent weeks europeans looking cut reliance surge gas prices hit consumers energy… 7402 chars
73,Reuters,uae connects second barakah nuclear power unit national grid reuters,united arab emirates connected second unit barakah nuclear power plant national power grid state news agency wam said tuesday,uae flag flies boat dubai marina dubai united arab emirates may 22 2015 reuters ahmed jadallah file photodubai sept 14 reuters united arab emirates connected second uni… 852 chars
74,The Guardian,observer view pros cons deep sea mining observer editorial,may merits mining seabed investing alternative green technologies land prioritydeep sea mining become one planet’s divisive problems stripping ocean floor vast mineral wealth proponents …,deep sea mining become one planets divisive problems stripping ocean floor vast mineral wealth proponents say obtain cobalt manganese nickel copper we… 2873 chars
75,Reuters,analysis biden lofty climate goals collide political economic reality reuters,president joe biden campaigned promise restore u leadership global fight climate change followed dizzying number executive orders lofty targets slash emissions,sept 15 reuters president joe biden campaigned promise restore u leadership global fight climate change followed dizzying number executive orders lo… 6128 chars
76,Yahoo Entertainment,german carmakers reject environmental groups climate demand,german automaker daimler friday dismissed “cease desist” demand two environmental groups commit ending sale combustion engine,berlin ap german automaker daimler friday dismissed cease desist demand two environmental groups commit ending sale combustion engine vehicles 2030 lawyers green… 1816 chars
77,CNN,extreme weather keeps knocking america power must,image collapsed electrical tower power lines hurricane ida tossed mississippi river illustrated fundamental challenge facing nation power systems built withstand extreme weather events without major investment…,jennifer granholm 16th united states secretary energy opinions expressed commentary image collapsed electrical tower power lines hurricane i… 5889 chars
78,Reuters,illinois could vote tuesday bill aims save nuclear plants reuters,illinois legislature edging closer vote soon tuesday bill aims prevent two nuclear power plants shutting owner moves close one next month unless state acts,three mile island nuclear power plant pictured royalton pennsylvania u may 30 2017 reuters carlo allegri file photothe company law firm names shown generated automati… 2416 chars
79,Reuters,explainer main battles ahead u democrats 3 5 trillion social spending bill reuters,democrats crafting massive spending package big 3 5 trillion would transform u economy investing free community college childcare green energy funded tax hikes wealthy larger companies,sept 15 reuters democrats crafting massive spending package big 3 5 trillion would transform u economy investing free community college childcare green energy … 4762 chars
80,Reuters,illinois senate passes bill save nuclear plants sends house reuters,illinois senate passed bill early wednesday aims prevent two nuclear power plants shutting autumn sending legislation house uncertain chamber would bring legislation vote,sept 1 reuters illinois senate passed bill early wednesday aims prevent two nuclear power plants shutting autumn sending legislation house unce… 2507 chars
81,Reuters,japan australia firms look build large scale green liquefied hydrogen supply chain reuters,japan biggest hydrogen supplier iwatani corp five firms said wednesday study feasibility building green liquefied hydrogen supply chain japan australia could produce 100 tonnes day around 2026,tokyo sept 15 reuters japan biggest hydrogen supplier iwatani corp five firms said wednesday study feasibility building green liquefied hydrogen supply chain be… 1957 chars
82,Reuters,ebrd urges kazakhstan act quickly decarbonisation reuters,kazakhstan must press ahead decarbonisation projects involve natural gas transition fuel lenders still finance european bank reconstruction development president odile renaud basso said friday,president european bank reconstruction development ebrd odile renaud basso attends interview reuters almaty kazakhstan september 24 2021 reuters pavel mikheyevalmaty s… 2310 chars
83,The Next Web,dear venture capitalists help save world — investing carbon neutral startups,technology evolving faster ever creates opportunity new products business models bringing products quickly market mean industries mobility energy spoke girish nadkarni ceo o…,technology evolving faster ever creates opportunity new products business models bringing products quickly market mean industries a… 4589 chars
84,Reuters,despite green talk pre covid oil demand seen returning soon reuters,world oil demand rise back 100 million barrels per day level last reached 2019 soon second quarter next year according major forecasters challenging views pandemic may curb oil use longer good,oil storage containers seen amid coronavirus disease covid 19 pandemic los angeles california u april 7 2021 reuters lucy nicholsonlondon sept 14 reuters world oil demand … 1885 chars
85,The Wall Street Journal,electric car shift drains fuel taxes countries,officials places like norway u k rethinking ev incentives studying road pricing systems,governments around world long encouraged motorists buy electric cars starting grapple consequence green drive dwindling income fuel taxes several co… 333 chars
86,NPR,next car may built ocean rocks scientists agree good,deep sea mining could provide minerals essential making electric vehicles regulations incomplete questions persist impact ocean ability store carbon dioxide,polymetallic nodules coat fields ocean floor rich critical minerals needed make batteries electric vehicles noaa office ocean exploration research sprawling fields … 13052 chars
87,HYPEBEAST,toyota ceo warns full transition electric vehicles could leave millions japanese workers jobs,toyota ceo akio toyoda concerned radical transition electric vehicles company cost millions japanese workers lose jobs automotive toyoda qualm japanese government pursuit towards carbon neutrality t…,toyota‘s ceo akio toyoda concerned radical transition electric vehicles company cost millions japanese workers lose jobs automotive toyoda’s qualm th… 1655 chars
88,MarketWatch,diageo use wind solar make bulleit bourbon first carbon neutral facility north america,global spirits giant diageo plc owns brands guinness hennessy opened first carbon neutral distillery north america portion bulleit bourbon operations,global spirits giant diageo plc owns brands guinness hennessy opened first carbon neutral distillery north america 72 000 square foot lebanon ky facility will… 4954 chars
89,Slashdot.org,old coal plant mining bitcoin utility company,anonymous reader quotes report ars technica bitcoin massive power consumption cryptocurrency dirty secret mine bitcoin computers across globe chew enough electricity power medium size country somewhere order…,bitcoin massive power consumption cryptocurrency dirty secret mine bitcoin computers across globe chew enough electricity power medium size country somewhere … 2844 chars
90,Business Insider,retailers gain edge critical last mile delivery,last mile delivery seen huge changes led consumer demand new technology helping retailers get ahead competition,last mile supply chain become complicated time consuming costly consideration retailers started moving goods production plants warehouses distribut… 5637 chars
91,CNET,every electric vehicle sale 2021 range roadshow,rounded every ev sale official epa estimated range rivian tesla dive,list electric cars range grows time environmental protection agency estimates rivian r1t startup built first production truck way mo… 16017 chars
92,Springwise.com,world’s first fossil fuel free steel,partnership steel producer mining company resulted new method manufacturing steel without use co2 producing coal post world’s first fossil fuel free steel appeared first springwise,spotted steel everywhere also huge polluter steel production accounts around 8 per cent global co2 emissions means electric vehicles green buildings wh… 2179 chars
93,Quartz India,us electric utilities experimenting flat rate pricing,flat monthly rate makes life easier customers could help utilities reduce carbon footprint,cell phones data plans movie music streaming home energy bill subscription craze finally reached electric utilities us least three companies testing new billing mode… 5574 chars
94,Castanet.net,several new items soon eligible recycling bc bc news castanet net,ol li several new items soon eligible recycling bc bc news castanet net li li mattresses e cigarettes solar panels longer go dump bc – maple ridge news maple ridge news li li view full coverage google news …,new list products eligible provincewide recycling part five year plan advance recycling british columbia electric vehicle batteries mattresses single use fuel canis… 2078 chars
95,The Guardian,deep sea mining cure climate crisis curse,trillions metallic nodules sea floor could help stop global heating mining may damage ocean ecologyin display cabinet recently opened broken planet exhibition london’s natural history museum curators placed small nu…,display cabinet recently opened broken planet exhibition londons natural history museum curators placed small nugget dark material covered faint indentations b… 15961 chars
96,Zacks.com,auto stock roundup aap xpev q2 results f output cut,advance auto parts aap xpeng xpev deliver improved year year results q2 ford f yet forced slash production f,august 30 2021 5 min read story originally appeared zackslast week recreational vehicle rv industry association came shipments data july markedly rv industry … 6052 chars
97,Reuters,illinois senate passes bill save nuclear plants sends house reuters,illinois senate passed bill early wednesday aims prevent two nuclear power plants shutting autumn sending legislation house uncertain chamber would bring legislation vote,company law firm names shown generated automatically based text article improving feature continue test develop beta welcome feedback … 3164 chars
98,Reuters,illinois senate passes bill save nuclear plants sends house reuters com,illinois senate passed bill early wednesday aims prevent two nuclear power plants shutting autumn sending legislation house uncertain chamber would bring legislation vote senate voted 39…,reuters illinois senate passed bill early wednesday aims prevent two nuclear power plants shutting autumn sending legislation house uncertain i… 2787 chars
99,Reuters,update 1 illinois senate passes bill save nuclear plants sends house reuters,illinois senate passed bill early wednesday aims prevent two nuclear power plants shutting autumn sending legislation house uncertain chamber would bring legislation vote,adds exelon comment sept 1 reuters illinois senate passed bill early wednesday aims prevent two nuclear power plants shutting autumn sending legislation … 2894 chars
